onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	595	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	433	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	353	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	319	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	398	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	349	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	537	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	385	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	503	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	551	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	389	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	324	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	655	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	365	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	517	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	371	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	410	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	360	cond003
65.0	1.0	congruent_incorrect	incorrect	congruent	0	1	493	cond002
67.5	1.0	incongruent_correct	correct	incongruent	1	2	438	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	387	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	403	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	377	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	376	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	359	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	342	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	317	cond001
87.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	323	cond004
90.0	1.0	incongruent_correct	correct	incongruent	1	2	370	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	489	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	416	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	430	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	357	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	333	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	371	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	354	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	416	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	408	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	484	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	371	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	362	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	377	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	566	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	405	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	420	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	466	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	353	cond001
147.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	337	cond004
150.0	1.0	congruent_correct	correct	congruent	1	1	439	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	358	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	372	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	436	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	354	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	409	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	525	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	357	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	356	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	567	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	478	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	405	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	427	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	434	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	360	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	448	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	406	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	389	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	449	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	337	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	400	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	478	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	422	cond003
227.5	1.0	congruent_correct	correct	congruent	1	1	420	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	347	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	385	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	625	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	375	cond001
