onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	497	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	497	cond002
2.5	1.0	congruent_correct	correct	congruent	1	1	350	cond001
10.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	523	cond004
12.5	1.0	incongruent_correct	correct	incongruent	1	2	454	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	541	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	495	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	475	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	464	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	734	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	474	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	742	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	577	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	457	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	492	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	440	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	437	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	506	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	520	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	500	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	370	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	398	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	365	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	385	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	413	cond001
82.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	417	cond004
85.0	1.0	incongruent_correct	correct	incongruent	1	2	479	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	596	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	496	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	517	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	353	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	541	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	588	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	584	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	549	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	609	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	422	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	562	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	544	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	509	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	681	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	485	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	530	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	663	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	421	cond001
137.5	1.0	incongruent_correct	correct	incongruent	1	2	514	cond003
140.0	1.0	congruent_correct	correct	congruent	1	1	461	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	426	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	488	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	462	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	632	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	454	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	571	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	430	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	588	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	545	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	526	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	450	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	543	cond001
177.5	1.0	congruent_correct	correct	congruent	1	1	491	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	488	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	502	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	546	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	455	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	355	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	529	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	485	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	554	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	553	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	444	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	528	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	445	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	388	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	514	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	366	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	522	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	598	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	395	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	400	cond001
242.5	1.0	incongruent_correct	correct	incongruent	1	2	613	cond003
245.0	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
247.5	1.0	congruent_correct	correct	congruent	1	1	406	cond001
250.0	1.0	incongruent_correct	correct	incongruent	1	2	513	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	605	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	669	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	449	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	344	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	397	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	546	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	461	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	363	cond001
287.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	402	cond004
290.0	1.0	congruent_correct	correct	congruent	1	1	388	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	561	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	398	cond003
