onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	0	2	559	cond002
0.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	559	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	883	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	513	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	485	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	554	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	503	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	908	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	654	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	451	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	625	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	485	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	419	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	538	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	551	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	603	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	545	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	773	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	561	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	719	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	429	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	542	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	602	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	503	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	627	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	417	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	541	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	538	cond003
90.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	581	cond004
92.5	1.0	congruent_correct	correct	congruent	1	1	610	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	576	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	452	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	837	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	546	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	487	cond001
