onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	616	cond001
2.5	1.0	congruent_correct	correct	congruent	1	1	558	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	867	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	530	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	561	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	360	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	732	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	700	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	698	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	545	cond001
35.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	384	cond004
37.5	1.0	congruent_correct	correct	congruent	1	1	607	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	510	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	580	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	571	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	858	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	401	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	575	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	660	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	508	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	794	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	409	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	893	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	701	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	532	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	555	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	658	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	960	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	639	cond003
92.5	1.0	congruent_incorrect	incorrect	congruent	0	1	694	cond002
95.0	1.0	congruent_correct	correct	congruent	1	1	789	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	643	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	570	cond001
102.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	442	cond004
105.0	1.0	incongruent_correct	correct	incongruent	1	2	320	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	583	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	509	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	629	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	817	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	520	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	504	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	462	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	597	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	795	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	602	cond001
137.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	1017	cond004
140.0	1.0	congruent_correct	correct	congruent	1	1	832	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	1014	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	899	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	539	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	569	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	576	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	615	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	606	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	675	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	507	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	641	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	1623	cond001
