onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	559	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	487	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	725	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	715	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	594	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	650	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	942	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	597	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	868	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	691	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	1065	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	864	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	1059	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	570	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	761	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	639	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	718	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	461	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	786	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	713	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	599	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	551	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	1341	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	492	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	563	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	426	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	441	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	727	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	590	cond003
92.5	1.0	congruent_incorrect	incorrect	congruent	0	1	693	cond002
