onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	489	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	489	cond002
2.5	1.0	congruent_correct	correct	congruent	1	1	377	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	510	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	332	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	655	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	294	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	413	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	387	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	353	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	408	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	367	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	446	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	477	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	323	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	338	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	518	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	326	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	324	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	316	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	400	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	335	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	311	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	525	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	428	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	355	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	442	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	328	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	383	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	486	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	397	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	387	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	409	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	328	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	367	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	427	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	315	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	401	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	329	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	503	cond001
132.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	350	cond004
135.0	1.0	congruent_correct	correct	congruent	1	1	380	cond001
137.5	1.0	incongruent_correct	correct	incongruent	1	2	444	cond003
140.0	1.0	congruent_correct	correct	congruent	1	1	546	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	569	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	550	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	429	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	452	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	362	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	458	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	376	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	455	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	382	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	365	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	443	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	458	cond001
177.5	1.0	congruent_correct	correct	congruent	1	1	441	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	598	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	405	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	420	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	483	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	449	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	416	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	423	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	414	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	530	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	386	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	449	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	543	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	676	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	347	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	330	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	353	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	512	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	502	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	333	cond001
242.5	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
245.0	1.0	incongruent_correct	correct	incongruent	1	2	411	cond003
247.5	1.0	congruent_correct	correct	congruent	1	1	330	cond001
250.0	1.0	incongruent_correct	correct	incongruent	1	2	480	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	368	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	604	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	380	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	528	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	431	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	430	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	365	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	682	cond001
287.5	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
290.0	1.0	congruent_correct	correct	congruent	1	1	432	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	366	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	430	cond003
297.5	1.0	incongruent_correct	correct	incongruent	1	2	380	cond003
