onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	520	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	520	cond003
0.0	0.0	incongruent_incorrect	incorrect	incongruent	1	2	520	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	381	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	349	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	467	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	370	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	526	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	462	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	364	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	324	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	427	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	329	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	476	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	386	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	480	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	423	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	366	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	515	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	369	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	360	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	598	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	317	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	380	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	331	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	449	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	520	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	439	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	358	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	397	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	611	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	523	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	353	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	408	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	343	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	494	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	356	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	569	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	352	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	367	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	413	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	547	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	458	cond001
