onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	514	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	514	cond003
0.0	0.0	incongruent_incorrect	incorrect	incongruent	1	2	514	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	440	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	432	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	302	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	413	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	432	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	432	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	414	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	430	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	460	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	347	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	414	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	348	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	356	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	425	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	359	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	372	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	410	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	394	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	392	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	391	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	461	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	445	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	420	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	546	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	377	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	328	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	391	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	389	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	388	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	442	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	482	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	393	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	351	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	350	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	651	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	370	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	360	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	408	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	421	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	331	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	363	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	385	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	392	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	351	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	430	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	349	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	387	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	522	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	401	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	328	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	371	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	409	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	414	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	389	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	436	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	386	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	442	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	321	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	415	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	438	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	429	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	340	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	520	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	392	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	351	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	397	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	380	cond003
