onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	617	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	617	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	373	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	379	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	351	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	460	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	424	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	542	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	355	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	359	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	323	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	336	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	349	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	420	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	264	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	433	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	414	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	372	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	706	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	366	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	379	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	320	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	468	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	329	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	486	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	379	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	471	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	467	cond003
90.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	465	cond004
92.5	1.0	congruent_correct	correct	congruent	1	1	413	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	411	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	422	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	452	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	335	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	396	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	385	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	381	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	413	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	551	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	460	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	345	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	495	cond001
