onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	754	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	754	cond002
0.0	0.0	incongruent_incorrect	incorrect	congruent	1	1	754	cond004
2.5	1.0	congruent_correct	correct	congruent	1	1	441	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	701	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	469	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	499	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	467	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	823	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	374	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	428	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	499	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	474	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	577	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	615	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	422	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	445	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	578	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	871	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	383	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	485	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	516	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	520	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	464	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	438	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	678	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	435	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	458	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	529	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	527	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	558	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	477	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	500	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	499	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	489	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	465	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	487	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	692	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	331	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	346	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	520	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	416	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	518	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	389	cond001
137.5	1.0	incongruent_correct	correct	incongruent	1	2	484	cond003
140.0	1.0	congruent_correct	correct	congruent	1	1	459	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	506	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	678	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	398	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	516	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	387	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	393	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	415	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	398	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	478	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	507	cond001
177.5	1.0	congruent_correct	correct	congruent	1	1	361	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	702	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	397	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	356	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	467	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	514	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	353	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	471	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	383	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	587	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	419	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	449	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	384	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	692	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	348	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	394	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	425	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	505	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	367	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	542	cond001
242.5	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
245.0	1.0	incongruent_correct	correct	incongruent	1	2	460	cond003
247.5	1.0	congruent_correct	correct	congruent	1	1	386	cond001
250.0	1.0	incongruent_correct	correct	incongruent	1	2	401	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	416	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	565	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	419	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	512	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	384	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	750	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	406	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	634	cond001
287.5	1.0	incongruent_correct	correct	incongruent	1	2	489	cond003
290.0	1.0	congruent_correct	correct	congruent	1	1	840	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	487	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	533	cond003
297.5	1.0	incongruent_correct	correct	incongruent	1	2	581	cond003
