onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	615	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	615	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	550	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	396	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	420	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	794	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	513	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	749	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	541	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	364	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	434	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	466	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	352	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	547	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	449	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	505	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	567	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	422	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	641	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	481	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	351	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	485	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	364	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	362	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	330	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	520	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	487	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	510	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	429	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	403	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	482	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	538	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	544	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	511	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	517	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	381	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	491	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	920	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	359	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	390	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	625	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	505	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	479	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	527	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	477	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	540	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	402	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	346	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	369	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	543	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	565	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	397	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	786	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	425	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	392	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	755	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	498	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	577	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	559	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	455	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	653	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	532	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	483	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	594	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	593	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	589	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	517	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	467	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	458	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	489	cond003
227.5	1.0	congruent_correct	correct	congruent	1	1	664	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	406	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	389	cond001
235.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	429	cond004
237.5	1.0	congruent_correct	correct	congruent	1	1	427	cond001
240.0	1.0	incongruent_correct	correct	incongruent	1	2	554	cond003
242.5	1.0	congruent_correct	correct	congruent	1	1	368	cond001
245.0	1.0	congruent_correct	correct	congruent	1	1	528	cond001
247.5	1.0	incongruent_correct	correct	incongruent	1	2	574	cond003
250.0	1.0	congruent_correct	correct	congruent	1	1	469	cond001
252.5	1.0	congruent_correct	correct	congruent	1	1	668	cond001
255.0	1.0	incongruent_correct	correct	incongruent	1	2	547	cond003
257.5	1.0	congruent_correct	correct	congruent	1	1	529	cond001
270.0	1.0	incongruent_correct	correct	incongruent	1	2	676	cond003
