onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	699	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	699	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	522	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	506	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	384	cond001
10.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	447	cond004
12.5	1.0	incongruent_correct	correct	incongruent	1	2	565	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	603	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	497	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	760	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	352	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	582	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	565	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	487	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	422	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	499	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	537	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	646	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	589	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	516	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	564	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	626	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	545	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	519	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	335	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	541	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	508	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	410	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	410	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	480	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	494	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	493	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	404	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	450	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	537	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	584	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	629	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	500	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	355	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	666	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	326	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	405	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	459	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	354	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	480	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	446	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	429	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	516	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	443	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	401	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	598	cond003
