onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	737	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	737	cond002
2.5	1.0	congruent_correct	correct	congruent	1	1	398	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	556	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	450	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	398	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	434	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	592	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	548	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	497	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	598	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	451	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	360	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	436	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	489	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	598	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	464	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	358	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	372	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	546	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	438	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	434	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	464	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	397	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	419	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	327	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	445	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	472	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	420	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	442	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	310	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	338	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	399	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	349	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	462	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	421	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	351	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	635	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	537	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	453	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	362	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	423	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	587	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	561	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	398	cond001
137.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	442	cond004
140.0	1.0	congruent_correct	correct	congruent	1	1	535	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	492	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	474	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	341	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	411	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	479	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	382	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	459	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	431	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	488	cond001
177.5	1.0	congruent_correct	correct	congruent	1	1	428	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	523	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	486	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	691	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	567	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	509	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	482	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	410	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	659	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	617	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	518	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	346	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	495	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	716	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	613	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	519	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	291	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	472	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	477	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	317	cond001
242.5	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
245.0	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
247.5	1.0	congruent_correct	correct	congruent	1	1	486	cond001
250.0	1.0	incongruent_correct	correct	incongruent	1	2	403	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	480	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	765	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	517	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	857	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	517	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	511	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	406	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	549	cond001
287.5	1.0	incongruent_correct	correct	incongruent	1	2	513	cond003
290.0	1.0	congruent_correct	correct	congruent	1	1	462	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	554	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	472	cond003
297.5	1.0	incongruent_correct	correct	incongruent	1	2	564	cond003
