onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	811	cond001
2.5	1.0	congruent_correct	correct	congruent	1	1	464	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	685	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	498	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	566	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	507	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	802	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	942	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	586	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	962	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	620	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	833	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	589	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	612	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	518	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	604	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	736	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	962	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	543	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	549	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	768	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	863	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	507	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	560	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	612	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	777	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	749	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	899	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	616	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	644	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	649	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	712	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	586	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	847	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	995	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	776	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	509	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	738	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	383	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	1016	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	497	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	542	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	785	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	782	cond001
137.5	1.0	incongruent_correct	correct	incongruent	1	2	771	cond003
140.0	1.0	congruent_correct	correct	congruent	1	1	1024	cond001
142.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	380	cond004
150.0	1.0	incongruent_correct	correct	incongruent	1	2	820	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	1045	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	1159	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	763	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	799	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	908	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	643	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	509	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	979	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	608	cond003
175.0	1.0	congruent_incorrect	incorrect	congruent	0	1	988	cond002
177.5	1.0	congruent_correct	correct	congruent	1	1	646	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	644	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	685	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	634	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	587	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	587	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	672	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	833	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	772	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	740	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	570	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	634	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	1073	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	785	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	660	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	749	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	621	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	612	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	561	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	604	cond001
242.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	792	cond004
245.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	516	cond004
247.5	1.0	congruent_incorrect	incorrect	congruent	0	1	603	cond002
250.0	1.0	incongruent_correct	correct	incongruent	1	2	648	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	507	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	627	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	710	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	716	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	535	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	558	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	409	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	747	cond001
287.5	1.0	incongruent_correct	correct	incongruent	1	2	493	cond003
290.0	1.0	congruent_correct	correct	congruent	1	1	555	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	576	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	500	cond003
297.5	1.0	incongruent_correct	correct	incongruent	1	2	644	cond003
