onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	590	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	492	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	751	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	613	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	529	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	421	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	531	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	522	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	925	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	393	cond001
30.0	1.0	congruent_incorrect	incorrect	congruent	0	1	935	cond002
32.5	1.0	congruent_correct	correct	congruent	1	1	882	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	723	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	742	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	836	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	527	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	853	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	874	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	1327	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	548	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	641	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	518	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	778	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	1038	cond001
80.0	1.0	congruent_incorrect	incorrect	congruent	0	1	0	cond002
82.5	1.0	congruent_correct	correct	congruent	1	1	407	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	660	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	537	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	582	cond003
92.5	1.0	congruent_incorrect	incorrect	congruent	0	1	0	cond002
95.0	1.0	incongruent_correct	correct	incongruent	1	2	600	cond003
97.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	0	cond004
100.0	1.0	incongruent_correct	correct	incongruent	1	2	785	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	541	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	834	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	471	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	811	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	552	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	589	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	531	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	536	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	429	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	682	cond003
