onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	500	cond003
0.0	0.0	incongruent_incorrect	incorrect	incongruent	1	2	500	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	492	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	498	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	441	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	560	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	535	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	683	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	587	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	442	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	736	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	495	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	526	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	576	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	543	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	630	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	549	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	508	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	698	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	863	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	607	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	557	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	572	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	451	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	530	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	488	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	511	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	414	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	557	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	539	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	546	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	530	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	656	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	503	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	462	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	685	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	507	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	505	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	598	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	548	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	460	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	427	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	591	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	447	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	413	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	572	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	611	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	546	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	384	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	527	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	534	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	589	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	706	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	959	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	406	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	629	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	596	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	569	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	480	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	519	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	526	cond003
195.0	1.0	congruent_incorrect	incorrect	congruent	0	1	508	cond002
197.5	1.0	congruent_correct	correct	congruent	1	1	668	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	666	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	633	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	599	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	535	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	683	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	658	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	617	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	712	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	558	cond003
227.5	1.0	congruent_correct	correct	congruent	1	1	598	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	533	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	467	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	538	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	577	cond001
240.0	1.0	incongruent_correct	correct	incongruent	1	2	600	cond003
242.5	1.0	congruent_correct	correct	congruent	1	1	614	cond001
245.0	1.0	congruent_correct	correct	congruent	1	1	445	cond001
247.5	1.0	incongruent_correct	correct	incongruent	1	2	708	cond003
250.0	1.0	congruent_correct	correct	congruent	1	1	555	cond001
252.5	1.0	congruent_correct	correct	congruent	1	1	449	cond001
255.0	1.0	incongruent_correct	correct	incongruent	1	2	560	cond003
257.5	1.0	congruent_correct	correct	congruent	1	1	575	cond001
270.0	1.0	incongruent_correct	correct	incongruent	1	2	641	cond003
272.5	1.0	congruent_correct	correct	congruent	1	1	497	cond001
275.0	1.0	congruent_correct	correct	congruent	1	1	447	cond001
277.5	1.0	incongruent_correct	correct	incongruent	1	2	575	cond003
280.0	1.0	incongruent_correct	correct	incongruent	1	2	685	cond003
282.5	1.0	congruent_correct	correct	congruent	1	1	444	cond001
290.0	1.0	congruent_correct	correct	congruent	1	1	848	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	464	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	495	cond003
297.5	1.0	congruent_correct	correct	congruent	1	1	573	cond001
