onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	1	2	625	cond002
0.0	1.0	incongruent_correct	correct	incongruent	1	2	625	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	453	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	449	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	511	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	411	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	376	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	965	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	370	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	390	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	427	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	408	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	342	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	493	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	417	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	474	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	487	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	483	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	490	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	420	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	327	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	437	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	345	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	340	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	314	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	346	cond001
87.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	405	cond004
90.0	1.0	incongruent_correct	correct	incongruent	1	2	464	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	436	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	458	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	358	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	323	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	543	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	468	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	338	cond001
110.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	415	cond004
112.5	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	632	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	468	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	369	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	391	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	580	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	401	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	446	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	563	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	383	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	459	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	408	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	324	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	417	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	525	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	475	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	392	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	490	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	470	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	451	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	769	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	581	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	547	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	400	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	620	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	384	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	366	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	446	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	332	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	545	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	478	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	386	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	414	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	460	cond003
227.5	1.0	congruent_correct	correct	congruent	1	1	465	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	326	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	386	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	486	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	452	cond001
240.0	1.0	incongruent_correct	correct	incongruent	1	2	455	cond003
242.5	1.0	congruent_correct	correct	congruent	1	1	460	cond001
245.0	1.0	congruent_correct	correct	congruent	1	1	361	cond001
247.5	1.0	incongruent_correct	correct	incongruent	1	2	422	cond003
250.0	1.0	congruent_correct	correct	congruent	1	1	442	cond001
252.5	1.0	congruent_correct	correct	congruent	1	1	543	cond001
255.0	1.0	incongruent_correct	correct	incongruent	1	2	571	cond003
257.5	1.0	congruent_correct	correct	congruent	1	1	529	cond001
270.0	1.0	incongruent_correct	correct	incongruent	1	2	607	cond003
272.5	1.0	congruent_correct	correct	congruent	1	1	397	cond001
275.0	1.0	congruent_correct	correct	congruent	1	1	377	cond001
277.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	390	cond004
280.0	1.0	incongruent_correct	correct	incongruent	1	2	554	cond003
282.5	1.0	congruent_correct	correct	congruent	1	1	550	cond001
290.0	1.0	congruent_correct	correct	congruent	1	1	614	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	506	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	479	cond003
