onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	827	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	827	cond002
2.5	1.0	congruent_correct	correct	congruent	1	1	389	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	579	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	644	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	433	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	624	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	409	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	430	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	459	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	367	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	371	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	440	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	308	cond003
47.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	377	cond004
50.0	1.0	incongruent_correct	correct	incongruent	1	2	510	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	557	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	584	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	422	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	417	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	382	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	531	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	377	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	349	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	425	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	423	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	348	cond001
90.0	1.0	incongruent_correct	correct	incongruent	1	2	401	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	346	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	494	cond003
