onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	679	cond003
2.5	1.0	incongruent_correct	correct	incongruent	1	2	532	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	509	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	502	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	531	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	439	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	560	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	509	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	607	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	315	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	456	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	384	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	501	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	418	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	454	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	427	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	449	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	509	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	394	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	560	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	668	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	440	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	492	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	434	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	422	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	508	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	352	cond003
