onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	0	2	793	cond002
0.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	793	cond004
2.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	542	cond004
5.0	1.0	congruent_correct	correct	congruent	1	1	931	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	966	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	764	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	713	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	662	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	547	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	784	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	492	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	649	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	693	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	1021	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	434	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	767	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	667	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	682	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	780	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	571	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	679	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	995	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	577	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	878	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	513	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	663	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	566	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	758	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	875	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	737	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	654	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	643	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	1150	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	620	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	424	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	516	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	386	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	679	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	867	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	1081	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	694	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	715	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	784	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	685	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	585	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	630	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	620	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	761	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	581	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	570	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	564	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	562	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	752	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	596	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	847	cond001
170.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	0	cond004
172.5	1.0	congruent_correct	correct	congruent	1	1	770	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	576	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	557	cond003
185.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	546	cond004
187.5	1.0	incongruent_correct	correct	incongruent	1	2	616	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	675	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	695	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	749	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	634	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	814	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	816	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	687	cond003
