onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	incongruent_correct	correct	incongruent	1	2	586	cond003
0.0	0.0	incongruent_incorrect	incorrect	incongruent	1	2	586	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	413	cond003
5.0	1.0	congruent_incorrect	incorrect	congruent	0	1	801	cond002
7.5	1.0	congruent_correct	correct	congruent	1	1	454	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	547	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	436	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	369	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	413	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	395	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	479	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	482	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	376	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	603	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	561	cond003
55.0	1.0	congruent_incorrect	incorrect	congruent	0	1	556	cond002
57.5	1.0	incongruent_correct	correct	incongruent	1	2	682	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	1049	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	549	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	514	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	463	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	475	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	480	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	532	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	521	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	396	cond001
87.5	1.0	incongruent_correct	correct	incongruent	1	2	659	cond003
90.0	1.0	incongruent_correct	correct	incongruent	1	2	559	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	443	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	568	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	509	cond003
100.0	1.0	incongruent_correct	correct	incongruent	1	2	714	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	435	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	496	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	549	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	520	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	622	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	507	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	488	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	541	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	602	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	496	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	477	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	545	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	478	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	539	cond003
